rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Variable must be private and have accessor methods;1488;24;1464;0.1;0.998991935483871;0.0006886391643790128;0.9583333333333334;0.026352313834736508;0.978804347826087;0.021204940365495514;0.9683510638297872;0.021675667884532
Missing a Javadoc comment.;1489;50;1439;0.1;0.9933512424445936;0.0008197821098545231;0.9259999999999999;0.017999999999999967;0.8820329421883251;0.012967747712952027;0.9033796449539082;0.01215084731361552
Parameter should be final;1489;50;1439;0.1;0.9961719274680995;0.0006749412774426181;0.9359999999999999;0.01496662954709573;0.9494560824329732;0.01310136589739313;0.9425815601968359;0.010216635151387224
Class designed for extension without Javadoc;1488;65;1423;0.1;0.9949596774193548;0.0005418183970630707;0.9507692307692308;0.006153846153846176;0.935024527711095;0.009154974740420836;0.9428046762397907;0.006038571183612498
'}' should be on the same line as the next part of a multi-block statement;1489;6;1483;0.1;0.9981867024848892;0.0003077619674248419;0.6166666666666667;0.07637626158259732;0.9199999999999999;0.09797958971132711;0.7309090909090908;0.051725062529337895
Hidden field;1489;15;1474;0.1;0.9934855607790464;0.0006044325050369448;0.8133333333333332;0.02666666666666666;0.6407135485773258;0.0326933617676006;0.7159455903573552;0.01911493703566624
Symbol is not followed by whitespace.;1488;20;1468;0.1;0.9875672043010754;0.0008092469474994838;0.5849999999999999;0.022912878474779172;0.5357244494635799;0.02814094832619182;0.5587010777084515;0.01938811466119385
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';1489;3;1486;0.1;0.9997313633310947;0.0003290113825094973;0.8666666666666666;0.16329931618554522;1.0;0.0;0.9199999999999999;0.09797958971132711
Expected @param tag;1488;12;1476;0.1;0.9928091397849463;0.0005248823706926574;0.5416666666666667;0.05590169943749474;0.5557792207792207;0.03319714829579091;0.5476056552143508;0.03868829770818723
Avoid inline conditionals.;1488;3;1485;0.1;0.9996639784946236;0.00033602150537637154;1.0;0.0;0.875;0.125;0.9285714285714285;0.07142857142857145
Symbol is followed by whitespace.;1488;3;1485;0.1;0.9991935483870968;0.0005858735139167541;0.6;0.2905932629027116;1.0;0.0;0.71;0.2211334438749598
Symbol is preceded with whitespace.;1488;3;1485;0.1;0.9991263440860216;0.00043031748907477487;0.5666666666666667;0.21343747458109497;1.0;0.0;0.7;0.17320508075688776
"switch without ""default"" clause.";1489;1;1488;0.1;0.998992612491605;0.000335795836131636;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;1489;2;1487;0.1;0.9991269308260577;0.0005245298640635828;0.5;0.22360679774997896;0.8;0.33166247903554;0.6;0.23804761428476168
Unused import;1488;1;1487;0.1;0.9983870967741935;0.00032923249230959386;0.0;0.0;0.0;0.0;0.0;0.0
Expected an @return tag.;1489;8;1481;0.1;0.9990597716588315;0.0006155239348496836;0.9375;0.0625;0.898611111111111;0.07808718220483665;0.915343137254902;0.05382435532778225
Avoid nested blocks.;1488;1;1487;0.1;0.9988575268817204;0.0003079687967039958;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;1489;1;1488;0.1;0.9989926124916051;0.000335795836131636;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line.;1488;1;1487;0.1;0.9983870967741935;0.0006853520851603113;0.0;0.0;0.0;0.0;0.0;0.0
File does not end with a newline.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;1488;1;1487;0.1;0.998252688172043;0.0005376344086021528;0.0;0.0;0.0;0.0;0.0;0.0
Expected @throws tag;1489;5;1484;0.1;0.9994627266621894;0.0002686366689053088;1.0;0.0;0.8666666666666668;0.06666666666666665;0.9272727272727271;0.036363636363636376
'static' modifier out of order with the JLS suggestions.;1489;1;1488;0.1;0.9993284083277366;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
First sentence should end with a period.;1489;1;1488;0.1;0.9993284083277366;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'private' modifier.;1489;1;1488;0.1;0.9993284083277366;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Utility classes should not have a public or default constructor.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unknown tag;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Class should be declared as final;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Method length greater than 150;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Inner assignments should be avoided.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unclosed HTML tag found;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Comment matches to-do format 'TODO:'.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'final' modifier.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expression can be simplified.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Extra HTML tag found;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unused @param tag;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unable to get class information for @throws tag;1488;0;1488;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;2976;1010;1966;0.2;0.9652889784946236;0.0009973670752457026;0.9452475247524752;0.00325530341045022;0.9521357634699619;0.0019188197042432724;0.9486740532150544;0.0015320341423825563
Line is longer than 80 characters;2976;204;2772;0.2;0.9920362903225806;0.0007521179195429867;0.9509803921568626;0.007594084992563579;0.9340288685497358;0.003933198166313799;0.9424228930122689;0.005554337935937035
Line has trailing spaces.;2975;190;2785;0.2;0.9897142857142857;0.0003427912278045836;0.906842105263158;0.0024118819447136075;0.9303621293102358;0.004207799289017478;0.9184464671748775;0.0026180302586218344
'{' should be on the previous line.;2976;296;2680;0.2;0.9989583333333336;0.00010080645161291145;0.9962837837837837;0.0010135135135135196;0.9932637182637183;6.825006825028623e-06;0.9947712045941387;0.0005093204502985005
File contains tab characters (this is the first instance).;2976;14;2962;0.2;0.9918682795698925;0.0003619062370386387;0.7714285714285714;0.02857142857142856;0.3398867750659774;0.01261656340201525;0.4717138583520379;0.015365768172736405
Variable must be private and have accessor methods;2976;48;2928;0.2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
