rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Unused import;3119;2;3117;0.2;0.9980763065084963;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expected an @return tag.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Avoid nested blocks.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;3118;3;3115;0.2;0.9990378447722901;1.1102230246251565e-16;0.6666666666666667;1.1102230246251565e-16;0.5;0.0;0.5714285714285714;1.1102230246251565e-16
Symbol should be on a new line.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File does not end with a newline.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;3118;4;3114;0.2;0.9976908274534958;0.0001924310455419853;0.475;0.075;0.2714285714285714;0.041170515394739475;0.3448484848484849;0.05138664899692477
Expected @throws tag;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;3118;2;3116;0.2;0.9987171263630531;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
First sentence should end with a period.;3119;8;3111;0.2;0.9984289836486054;0.00017265677483597097;0.75;0.0;0.6766666666666666;0.04163331998932267;0.7107843137254902;0.02278225497769071
Redundant 'private' modifier.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;3119;19;3100;0.2;0.9986213529977558;0.00038070990981204923;0.9052631578947368;0.04588314677411233;0.8748780373393377;0.03942594199885737;0.8887832856061356;0.03134182047431491
Utility classes should not have a public or default constructor.;3118;1;3117;0.2;0.9993585631815266;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unknown tag;3118;1;3117;0.2;0.9993906350224504;0.00022450288646569237;0.0;0.0;0.0;0.0;0.0;0.0
Class should be declared as final;3118;2;3116;0.2;0.9995830660679923;0.0002886465683130249;1.0;0.0;0.6566666666666667;0.19382122346808842;0.7771428571428572;0.1342958456157891
'else' construct must use '{}'s.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;3118;3;3115;0.2;0.999326491340603;9.621552277099266e-05;0.6333333333333334;0.1;0.65;0.04999999999999999;0.64;0.07999999999999997
'protected' modifier out of order with the JLS suggestions.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Method length greater than 150;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Inner assignments should be avoided.;3118;1;3117;0.2;0.9987171263630532;0.0003207184092366866;0.0;0.0;0.0;0.0;0.0;0.0
