rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Abbreviation in name must contain no more than '2' consecutive capital letters;4537;7;4530;0.1;0.9984350892660349;0.00033354079679132764;0.42857142857142855;0.0;0.5247619047619048;0.1367678404336003;0.46417332667332667;0.05367418317453144
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';4538;4;4534;0.1;0.9972234464521816;0.00034421549915850797;0.0;0.0;0.0;0.0;0.0;0.0
At-clause should have a non-empty description.;4537;32;4505;0.1;0.9987216222173243;0.00021595677697007417;0.96875;0.0;0.8665871754107048;0.02432075455669584;0.914647756335736;0.013389726996384603
Whitespace around a symbol is not followed by whitespace;4538;8;4530;0.1;0.9979506390480386;0.00035600472501990494;0.5;0.0;0.442053502053502;0.07031859173011175;0.4662135731485577;0.04080139049627118
'(' is followed by whitespace.;4537;3;4534;0.1;0.9997134670487107;0.00017214568384190168;0.7;0.23333333333333334;0.875;0.1547847968417226;0.7457142857142858;0.16944888660026075
')' is preceded with whitespace.;4537;3;4534;0.1;0.9996473440599516;0.0001763279700242509;0.8666666666666666;0.22110831935702666;0.7066666666666667;0.16299284237863534;0.7580952380952379;0.14722374106091987
"switch without ""default"" clause.";4538;1;4537;0.1;0.9997576024680475;6.61084178051996e-05;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;4537;4;4533;0.1;0.9984571302622879;0.00019714066365438207;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line;4537;6;4531;0.1;0.9993828521049151;8.816398501210188e-05;0.8333333333333334;0.0;0.7380952380952381;0.04761904761904762;0.7820512820512819;0.025641025641025685
Overload methods should not be split;4538;2;4536;0.1;0.9994050242397533;0.0001009822762220312;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;4538;2;4536;0.1;0.9994711326575583;0.00010795459421697416;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;4538;1;4537;0.1;0.999779638607316;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;4538;2;4536;0.1;0.9995592772146319;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;4537;1;4536;0.1;0.9997575490412167;6.61229887591097e-05;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;4538;10;4528;0.1;0.999779638607316;0.0;1.0;0.0;0.909090909090909;1.1102230246251565e-16;0.9523809523809523;0.0
'CTOR_DEF' should be separated from previous statement.;4538;1;4537;0.1;0.9995152049360951;0.0001322168356103992;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;4538;1;4537;0.1;0.9997576024680477;6.61084178051996e-05;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;4537;2;4535;0.1;0.9992506061273969;0.00028226247464988;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;4538;1;4537;0.1;0.999779638607316;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';4537;1;4536;0.1;0.9997355080449637;8.816398501214629e-05;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;4537;1;4536;0.1;0.9997795900374697;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;4538;1;4537;0.1;0.999779638607316;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';4538;1;4537;0.1;0.9995592772146319;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;4538;1;4537;0.1;0.9997135301895108;0.00014110013744893696;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;4538;1;4537;0.1;0.9997135301895108;0.0001009822762220312;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;4538;1;4537;0.1;0.9996253856324371;0.0001009822762220312;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;4538;1;4537;0.1;0.9997355663287794;0.0001322168356103992;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;4537;1;4536;0.1;0.9995591800749393;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';4538;1;4537;0.1;0.9993389158219481;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;4538;1;4537;0.1;0.999779638607316;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;4538;1;4537;0.1;0.9993829881004848;0.0003660918405869528;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;4538;1;4537;0.1;0.999779638607316;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;9074;6139;2935;0.2;0.9968811990301963;0.00020938946440378226;0.997426290926861;0.0001420068070871779;0.9979628578738431;0.00031904869792443927;0.9976944650938938;0.00015448810037249283
'package' should be separated from previous statement.;9073;19;9054;0.2;0.9998456960211618;5.3995144776478004e-05;1.0;0.0;0.9319047619047618;0.02216205005375254;0.9646153846153845;0.011933411567405185
'{' should be on the previous line;9074;296;8778;0.2;0.9991183601498788;9.857033182716621e-05;0.9861486486486486;0.0010135135135135196;0.9868230634332329;0.0027694104640033916;0.9864836022710035;0.0014962531136374043
First sentence of Javadoc is incomplete (period is missing) or not present.;9074;84;8990;0.2;0.998523253251047;8.816398501210188e-05;0.9297619047619048;0.0035714285714285587;0.9124687597573111;0.008543739246046128;0.9210077607291229;0.00439537675276195
Line contains a tab character.;9074;6074;3000;0.2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;9074;3656;5418;0.2;0.9873705091470134;0.0006597588515360937;0.9863238512035011;0.0012887548128434976;0.9824009892216724;0.0007363386620181061;0.9843580835930933;0.000822599551803668
<p> tag should be placed immediately before the first word, with no space after.;9074;7;9067;0.2;0.999338770112409;9.857033182720344e-05;0.7142857142857143;0.0;0.5617063492063492;0.062368847022060414;0.6270658263305322;0.037040929116573036
<p> tag should be preceded with an empty line.;9073;46;9027;0.2;0.998269591094456;0.00019747021786804657;0.7978260869565218;0.025813787145734585;0.8515931742675928;0.020116327343050112;0.8236928427377865;0.02084992712226536
'}' should be on the same line as the next part of a multi-block statement;9074;38;9036;0.2;0.9984791712585409;0.0001186943973359989;0.8789473684210526;0.012892051277806186;0.7846632232707105;0.020482244756041556;0.8289022762289712;0.011244596036467259
Wrong lexicographical order for import;9074;10;9064;0.2;0.998159576812872;0.00013983444501266526;0.2;0.0;0.18952602952602954;0.022145361834705054;0.1939554419645953;0.011744496799853956
Line is longer than 100 characters;9074;236;8838;0.2;0.9910293145250166;0.0003661725308758153;0.8292372881355933;0.011377730154319948;0.8264507802255814;0.0064777126918275415;0.827807760738725;0.00758228501901052
Missing a Javadoc comment.;9074;12;9062;0.2;0.9989530526779811;0.00016530747189772801;0.6416666666666667;0.08374896350934075;0.5978038628038628;0.05855308135811701;0.6173545150501673;0.06356574370495605
Abbreviation in name must contain no more than '2' consecutive capital letters;9074;14;9060;0.2;0.9994159135992946;8.607284192095014e-05;0.8928571428571427;0.035714285714285754;0.7684722222222222;0.03370575723721775;0.8252247868001483;0.023837119181465274
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';9074;7;9067;0.2;0.9985783557416795;9.154313271893461e-05;0.07142857142857142;0.07142857142857142;0.06845238095238096;0.0694288531250409;0.06967032967032967;0.06990750123425218
At-clause should have a non-empty description.;9073;63;9010;0.2;0.9998456960211616;0.00010101566615136537;0.9888888888888889;0.007273929674533105;0.9889632936507937;0.010051988789458234;0.9889011873515811;0.007238614160013599
Whitespace around a symbol is not followed by whitespace;9074;15;9059;0.2;0.9971346704871061;0.00017770019282122896;0.24;0.03265986323710904;0.19856184579094796;0.024782925904730944;0.21677264897599585;0.026309932742689144
'(' is followed by whitespace.;9074;6;9068;0.2;0.9999669385056205;5.0502266860863626e-05;1.0;0.0;0.9571428571428573;0.06546536707079774;0.976923076923077;0.0352505822688911
')' is preceded with whitespace.;9073;6;9067;0.2;0.9999559131489033;5.399514477642362e-05;1.0;0.0;0.9428571428571428;0.06998542122237654;0.9692307692307691;0.037684457581279696
"switch without ""default"" clause.";9073;0;9073;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;9073;7;9066;0.2;0.998192439105037;0.00014114679240456667;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line;9073;11;9062;0.2;0.9993056320952276;9.919541496748884e-05;0.5727272727272726;0.08181818181818183;0.7992460317460317;0.05157095284288143;0.6639028944911297;0.060909917194167704
Overload methods should not be split;9074;3;9071;0.2;0.9987216222173243;0.0001411312373249556;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;9074;3;9071;0.2;0.9996583645580779;3.30614943795382e-05;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;9073;0;9073;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;9074;3;9071;0.2;0.9994710160899272;6.612298875907639e-05;0.2333333333333333;0.15275252316519466;0.2;0.13540064007726602;0.21428571428571427;0.1416616645775573
