rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Symbol is preceded with whitespace.;14902;1;14901;1;0.9999328949134345;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;14902;1;14901;1;0.9999328949134345;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Unused import;14902;26;14876;1;0.9971279022949939;9.8623932738563e-05;0.03846153846153846;6.938893903907228e-18;0.05352234753550543;0.004252361138330516;0.0446910762174407;0.0014709940647297335
Expected an @return tag.;14902;171;14731;1;0.9967521138102269;0.00016492022181510227;0.843859649122807;0.005877120246269516;0.8694205638234884;0.011492617481618147;0.8564061006761989;0.006657705256944568
Avoid nested blocks.;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;14902;5;14897;1;0.9993759226949402;8.514680942456913e-05;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line.;14902;51;14851;1;0.9989263186149511;0.00010820370082268148;0.8274509803921569;0.022866478019001192;0.8543647863400678;0.016022263325441453;0.8405507331045229;0.01674645350459543
File does not end with a newline.;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;14902;5;14897;1;0.9999328949134345;1.1102230246251565e-16;0.8;0.0;1.0;0.0;0.888888888888889;0.0
Expected @throws tag;14902;30;14872;1;0.99838276741377;6.330681205244579e-05;0.6499999999999998;0.016666666666666663;0.5893819001207522;0.015613116560434437;0.6180794521669059;0.013407787477557614
'static' modifier out of order with the JLS suggestions.;14902;1;14901;1;0.9998657898268689;6.710508656554426e-05;0.0;0.0;0.0;0.0;0.0;0.0
First sentence should end with a period.;14902;29;14873;1;0.9988592135283856;6.002061407861353e-05;0.8275862068965518;0.015421158465515773;0.667318726792411;0.018089746200359164;0.7385740932154028;0.009748209720789576
Redundant 'private' modifier.;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Utility classes should not have a public or default constructor.;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unknown tag;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
